year,tv.new_infections,tv.n_infected
2000,852516.6774682258,760272.2162988923
2001,857369.4991122726,769847.7893189552
2002,865533.4498992392,782681.592793945
2003,879210.760139826,799819.49781677
2004,892610.0696661178,816739.4437105252
2005,901728.4378335665,830346.8373186835
2006,902188.2045842203,825878.5534003824
2007,901618.8072641673,804999.7749780371
2008,888648.0932469191,765341.1474453519
2009,882183.8938746061,734636.7428610985
2010,890675.8743621195,729784.6129197768
2011,911341.6451726744,744446.4365887817
2012,935534.5406538631,761086.1767973293
2013,951901.218828192,770824.6273014398
2014,972544.6629052069,782505.8625114862
2015,993846.342812504,793974.2086430378
2016,1023974.2850322562,805836.7741252675
2017,1066953.3578435807,819453.9549255279
2018,1112073.165897875,834207.6610899594
2019,1151903.148596999,850737.1428713235
2020,1180655.0234291253,872826.4222121442
2021,1189789.4012020554,896177.1175738553
2022,1216203.5951031256,916616.9788305655
2023,1236955.3640623272,933444.5787315362
2024,1258867.6863727684,951775.3761623913
2025,1287607.6046148539,975466.8945155921
2026,1317061.4227803587,999753.321916393
2027,1346699.9840591117,1023889.2517060657
2028,1378297.482305951,1048921.5029125854
2029,1410963.9359997115,1074531.4118855179
2030,1445340.8748109562,1101140.5853244457
2031,1479654.0555298051,1127553.8066619323
2032,1514343.8708581496,1154009.9996305685
2033,1552880.9275870684,1182737.6240167876
2034,1593266.6749926317,1212249.4863328573
2035,1633644.9863997696,1241136.3704281258
2036,1675190.4111659215,1270572.5978366889
2037,1715336.6921333352,1298825.6840904576
2038,1758182.4381612476,1328592.881769475
2039,1802181.7669162264,1358793.0786263123
2040,1846158.2357054949,1388555.8085152465
2041,1890480.7759935646,1418386.8505578737
2042,1935788.0637365673,1448888.8638824516
2043,1980081.6942844142,1478250.9423071947
2044,2026106.1474369562,1508907.189606836
2045,2069886.5318785147,1538034.4224479508
2046,2113639.106685599,1567391.0128436931
2047,2156389.9346703854,1596209.4533353213
2048,2198484.7416552464,1624738.1679610068
2049,2240411.0788311195,1653420.0650630067
2050,2280499.8565648235,1681096.598376304
